,1. open,2. high,3. low,4. close,5. volume
2025-06-04,202.91,206.24,202.1,202.82,43603985.0
2025-06-05,203.5,204.75,200.15,200.63,55221235.0
2025-06-06,203.0,205.7,202.05,203.92,46607693.0
2025-06-09,204.39,206.0,200.02,201.45,72862557.0
2025-06-10,200.6,204.35,200.57,202.67,54672608.0
2025-06-11,203.5,204.5,198.41,198.78,60989857.0
2025-06-12,199.08,199.68,197.3601,199.2,43904635.0
2025-06-13,199.73,200.37,195.7,196.45,51447349.0
2025-06-16,197.3,198.685,196.5636,198.42,43020691.0
2025-06-17,197.2,198.39,195.21,195.64,38856152.0
2025-06-18,195.94,197.57,195.07,196.58,45394689.0
2025-06-20,198.235,201.7,196.855,201.0,96813542.0
2025-06-23,201.625,202.3,198.96,201.5,55814272.0
2025-06-24,202.59,203.44,200.2,200.3,54064033.0
2025-06-25,201.45,203.67,200.6201,201.56,39525730.0
2025-06-26,201.43,202.64,199.46,201.0,50799121.0
2025-06-27,201.89,203.22,200.0,201.08,73188571.0
2025-06-30,202.01,207.39,199.2607,205.17,91912816.0
2025-07-01,206.665,210.1865,206.1401,207.82,78788867.0
2025-07-02,208.91,213.34,208.14,212.44,67941811.0
2025-07-03,212.145,214.65,211.8101,213.55,34955836.0
2025-07-07,212.68,216.23,208.8,209.95,50228984.0
2025-07-08,210.1,211.43,208.45,210.01,42848928.0
2025-07-09,209.53,211.33,207.22,211.14,48749367.0
2025-07-10,210.505,213.48,210.03,212.41,44443635.0
2025-07-11,210.565,212.13,209.86,211.16,39765812.0
2025-07-14,209.925,210.91,207.54,208.62,38840111.0
2025-07-15,209.22,211.89,208.92,209.11,42296339.0
2025-07-16,210.295,212.4,208.64,210.16,47490532.0
2025-07-17,210.57,211.8,209.59,210.02,48068141.0
2025-07-18,210.87,211.79,209.7045,211.18,48974591.0
2025-07-21,212.1,215.78,211.63,212.48,51377434.0
2025-07-22,213.14,214.95,212.2301,214.4,46404072.0
