,1. open,2. high,3. low,4. close,5. volume,MA_3,MA_7,STD_3,STD_7,%_change
2025-06-12,199.08,199.68,197.3601,199.2,43904635.0,200.21666666666667,201.35285714285715,2.1350019515993823,1.9263066066587389,0.0021128886205854513
2025-06-13,199.73,200.37,195.7,196.45,51447349.0,198.14333333333332,200.44285714285712,1.4814294898283313,2.5282649800849017,-0.013805220883534086
2025-06-16,197.3,198.685,196.5636,198.42,43020691.0,198.0233333333333,200.12714285714284,1.41726261974731,2.636662753594086,0.01002799694578771
2025-06-17,197.2,198.39,195.21,195.64,38856152.0,196.83666666666667,198.94428571428574,1.4297668807651447,2.505546228821508,-0.014010684406813856
2025-06-18,195.94,197.57,195.07,196.58,45394689.0,196.88,198.24857142857144,1.4140721339449245,2.3660686702588793,0.004804743406256584
2025-06-20,198.235,201.7,196.855,201.0,96813542.0,197.74,198.01,2.862097133222382,1.880274802610775,0.02248448468816755
2025-06-23,201.625,202.3,198.96,201.5,55814272.0,199.69333333333336,198.39857142857142,2.7077912277968292,2.300104552489017,0.0024875621890547706
2025-06-24,202.59,203.44,200.2,200.3,54064033.0,200.9333333333333,198.55571428571426,0.6027713773345147,2.399415603453274,-0.005955334987593042
2025-06-25,201.45,203.67,200.6201,201.56,39525730.0,201.12,199.28571428571428,0.7107742257570008,2.4291483908485096,0.006290564153769385
2025-06-26,201.43,202.64,199.46,201.0,50799121.0,200.95333333333335,199.6542857142857,0.6312949653955422,2.4712672669628426,-0.0027783290335383626
2025-06-27,201.89,203.22,200.0,201.08,73188571.0,201.21333333333337,200.4314285714286,0.3028751117768216,1.7480220114121057,0.0003980099502487455
2025-06-30,202.01,207.39,199.2607,205.17,91912816.0,202.41666666666666,201.6585714285714,2.3847920943625462,1.602752097398369,0.02034016311915643
2025-07-01,206.665,210.1865,206.1401,207.82,78788867.0,204.68999999999997,202.63285714285715,3.3955411939779743,2.777821174264337,0.012916118340888127
2025-07-02,208.91,213.34,208.14,212.44,67941811.0,208.47666666666666,204.19571428571427,3.679216402080174,4.547834126053458,0.022230776633625382
2025-07-03,212.145,214.65,211.8101,213.55,34955836.0,211.27,206.08857142857144,3.038897826515909,5.343882572847444,0.005225004707211545
2025-07-07,212.68,216.23,208.8,209.95,50228984.0,211.98,207.28714285714287,1.84355634576307,5.09393663841556,-0.016857878716928232
2025-07-08,210.1,211.43,208.45,210.01,42848928.0,211.17,208.5742857142857,2.061358775177946,4.320065034784102,0.0002857823291260164
2025-07-09,209.53,211.33,207.22,211.14,48749367.0,210.36666666666665,210.01142857142855,0.6703978918047503,2.8266200580169363,0.005380696157325726
