,1. open,2. high,3. low,4. close,5. volume,MA_3,MA_7,STD_3,STD_7,%_change
2025-06-12,693.3,695.38,687.0,693.36,7322730.0,696.6333333333333,693.4628571428572,5.00928471274422,5.878267075382288,-0.0011236926268475278
2025-06-13,687.95,694.57,681.01,682.87,9274441.0,690.1233333333333,692.7371428571429,6.293666128206235,6.897518187207401,-0.015129225799007773
2025-06-16,699.33,707.15,693.5103,702.12,13720288.0,692.7833333333334,695.2371428571429,9.637947568509171,6.631421954819097,0.028189845797882418
2025-06-17,702.0,705.97,696.06,697.23,10066110.0,694.0733333333334,695.1685714285715,10.005700042142605,6.6040150125294135,-0.006964621432233753
2025-06-18,698.18,701.59,694.9,695.77,10068255.0,698.3733333333333,695.4128571428571,3.3258131837694846,6.58778089669478,-0.002094000545013852
2025-06-20,700.75,701.8197,678.67,682.35,22538640.0,691.7833333333333,692.5485714285714,8.202056652653035,7.357335180102994,-0.019287983097862726
2025-06-23,683.69,699.05,678.75,698.53,11080055.0,692.2166666666667,693.1757142857142,8.655503066450278,7.6949547478480005,0.02371217117315161
2025-06-24,704.885,713.19,702.11,712.2,13823180.0,697.6933333333333,695.867142857143,14.942577867735393,10.539267391183143,0.01956966773080615
2025-06-25,713.315,716.58,705.38,708.68,9320436.0,706.4699999999999,699.5542857142857,7.097908142545261,9.717127245475357,-0.004942431901151512
2025-06-26,714.355,728.22,711.05,726.09,13964793.0,715.6566666666666,702.9785714285715,9.205348083225932,14.035766727152597,0.02456680024834923
2025-06-27,726.515,735.43,725.86,733.63,18775735.0,722.8000000000001,708.1785714285714,12.796237728333447,17.791385957415113,0.01038438761035132
2025-06-30,744.55,747.9,734.25,738.09,15402105.0,732.6033333333334,714.2242857142857,6.065520038163582,19.93350099467609,0.0060793588048471126
2025-07-01,736.875,737.7499,715.37,719.22,13431248.0,730.3133333333334,719.4914285714286,9.862526721553795,14.13538282534423,-0.02556598788765596
2025-07-02,715.325,720.3,712.8,713.57,9336740.0,723.6266666666667,721.6400000000001,12.840234940738393,11.271066202153243,-0.00785573259920469
2025-07-03,726.61,729.03,714.42,719.01,8601653.0,717.2666666666668,722.6128571428571,3.2031286788631848,10.594021449675187,0.007623638886163908
2025-07-07,717.6,727.0,713.51,718.35,9457080.0,716.9766666666668,723.9942857142858,2.968658507365866,8.9822860066215,-0.0009179288187924906
2025-07-08,721.57,722.9099,714.81,720.67,7770693.0,719.3433333333332,723.22,1.1953799953812332,9.005100406620702,0.0032296234426114623
2025-07-09,722.715,737.53,722.715,732.78,11417963.0,723.9333333333334,723.0985714285715,7.748756889550826,8.84565133944553,0.01680380756795752
2025-07-10,731.55,735.7999,719.6,727.24,9922249.0,726.8966666666666,721.5485714285714,6.062296044681757,6.390934800092662,-0.007560250006823255
2025-07-11,722.495,725.16,709.7,717.51,10873880.0,725.8433333333332,721.3042857142856,7.73021560717186,6.526029566646931,-0.013379352070843176
2025-07-14,717.6,728.0,716.547,720.92,8939399.0,721.89,722.3542857142857,4.9369930119485,5.599782308692838,0.004752547002829122
2025-07-15,723.9,724.4716,709.82,710.39,11529511.0,716.2733333333332,721.1228571428571,5.372823590381457,7.182041757711513,-0.014606336347999793
2025-07-16,713.37,713.97,699.2701,702.91,13067627.0,711.4066666666666,718.9171428571428,9.047940833878036,9.995445153144166,-0.010529427497571797
2025-07-17,704.39,705.9,697.105,701.41,11803264.0,704.9033333333333,716.1657142857142,4.810419247150493,11.901600532621064,-0.002133985858786991
2025-07-18,702.19,704.71,691.65,704.28,12779752.0,702.8666666666667,712.0942857142857,1.4354906246141796,9.992401875329465,0.004091758030253301
2025-07-21,706.8,717.0,705.76,712.965,9404391.0,706.2183333333334,710.055,6.0164240486651686,7.542581896582892,0.012331743056738897
2025-07-22,716.19,716.6,701.41,704.81,8921064.0,707.3516666666666,708.2407142857144,4.868506786824555,6.955032008415881,-0.01143814913775587
2025-07-23,706.365,714.6285,704.93,713.58,8771615.0,710.4516666666667,707.1921428571429,4.8954936761635945,5.004697674137643,0.012443069763482528
2025-07-24,717.05,723.6239,714.0,714.8,10920836.0,711.0633333333332,707.8221428571429,5.449792044964423,5.703170066683808,0.0017096891729027064
2025-07-25,716.915,720.6499,711.9,712.68,8271698.0,713.6866666666666,709.217857142857,1.064017543726381,5.492273252141019,-0.0029658645775042514
2025-07-28,715.2,724.7352,712.68,717.63,8715743.0,715.0366666666665,711.535,2.483472031925812,5.0531813411610305,0.006945613739686829
2025-07-29,720.0,724.47,699.91,700.0,13267032.0,710.1033333333334,710.9235714285714,9.093054125724631,6.204999808141773,-0.024566977411758173
2025-07-30,708.09,708.5,691.2001,695.21,27077286.0,704.2800000000001,708.3871428571429,11.806900524694239,8.453073828072883,-0.0068428571428570395
2025-07-31,775.2,784.75,765.51,773.44,38831098.0,722.8833333333333,718.1914285714286,43.84881336288767,25.738871011611327,0.1125271500697631
2025-08-01,760.73,765.9999,745.31,750.01,19028710.0,739.5533333333333,723.3957142857143,40.14959069944987,28.214951625655416,-0.030293235415804753
2025-08-04,760.0,776.85,758.41,776.37,15801727.0,766.6066666666667,732.1914285714286,14.447603030722657,34.07672100255078,0.035146198050692634
2025-08-05,776.445,783.1299,763.0,763.46,11640294.0,763.2800000000001,739.4457142857144,13.180921819054007,34.63137443472405,-0.0166286693200407
2025-08-06,770.0,773.64,760.4601,771.99,9733910.0,770.6066666666667,747.2114285714287,6.565229115068624,35.0167899864099,0.011172818484268987
2025-08-07,773.49,775.0,759.55,761.83,9019691.0,765.7600000000001,756.0442857142858,5.456546526880599,28.2716040443064,-0.013160792238241403
2025-08-08,762.75,769.9,758.58,769.3,7320755.0,767.7066666666666,766.6285714285715,5.264070034996275,9.003846268067015,0.009805337148707682
2025-08-11,770.075,773.4584,764.67,765.87,7611964.0,765.6666666666666,765.5471428571428,3.7391487444799334,8.489296622382486,-0.004458598726114538
2025-08-12,773.0,793.67,772.43,790.0,14579765.0,775.0566666666667,771.26,13.05444879469619,9.665153904616904,0.03150665256505669
2025-08-13,791.15,795.4561,778.23,780.08,8811750.0,778.65,771.79,12.12839230895877,10.084684757918696,-0.01255696202531642
2025-08-14,777.88,787.81,772.51,782.13,8116193.0,784.07,774.4571428571428,5.236821555104647,9.98278804456879,0.002627935596348996
2025-08-15,784.15,796.25,780.82,785.23,13375361.0,782.48,776.3485714285714,2.5927784324946788,10.668188581899662,0.003963535473642477
2025-08-18,775.085,775.81,756.5601,767.37,16513737.0,778.2433333333333,777.14,9.543297822731116,9.559487433954088,-0.022744928237586448
2025-08-19,767.12,767.17,749.36,751.48,12286690.0,768.0266666666666,774.5942857142857,16.884579749977416,13.539498830139792,-0.020707090451802856
2025-08-20,747.57,750.1999,731.0,747.72,11898190.0,755.5233333333332,772.0014285714286,10.43034195668343,16.82736801420963,-0.005003459839250546
2025-08-21,744.705,745.5,733.1101,739.1,8876307.0,746.1,764.7299999999999,6.3469992910051545,18.65208478070496,-0.011528379607339656
