,1. open,2. high,3. low,4. close,5. volume,MA_3,MA_7,STD_3,STD_7,%_change
2025-06-12,475.02,480.415,473.52,478.87,18950582.0,474.1366666666667,471.0128571428572,4.186386667919462,4.65246785511273,0.013224154712030867
2025-06-13,476.41,479.18,472.76,474.96,16814456.0,475.48333333333335,472.5971428571429,3.1576943065049714,3.5791652392036846,-0.008165055234197194
2025-06-16,475.21,480.6943,475.0,479.14,15626104.0,477.6566666666667,474.2342857142857,2.3392805161702594,3.5761145448790463,0.008800741115041255
2025-06-17,475.395,478.7399,474.08,478.04,15414128.0,477.37999999999994,475.3285714285715,2.1667487163952566,3.365939336804494,-0.002295779939057385
2025-06-18,478.0,481.0,474.46,480.24,17526452.0,479.14000000000004,476.3985714285714,1.100000000000071,3.5924941594544837,0.004602125345159358
2025-06-20,482.23,483.46,476.87,477.4,37576206.0,478.56,477.32428571428574,1.489697955962986,2.6591217669427825,-0.00591370981176087
2025-06-23,478.21,487.75,472.51,486.0,24863952.0,481.2133333333333,479.2357142857142,4.381841317680658,3.4153665354437166,0.018014243820695386
2025-06-24,488.95,491.849,486.795,490.11,22305642.0,484.50333333333333,480.84142857142854,6.48583327979783,5.323790718937743,0.008456790123456903
2025-06-25,492.04,494.5556,489.39,492.27,17495099.0,489.46000000000004,483.3142857142857,3.1851373596752146,6.100169006245755,0.0044071738997366605
2025-06-26,492.98,498.04,492.81,497.45,21578853.0,493.27666666666664,485.92999999999995,3.7721258374200173,7.721964344215285,0.01052268064273676
2025-06-27,497.55,499.3,493.03,495.94,34539236.0,495.21999999999997,488.4871428571428,2.6640007507503194,7.637053782460165,-0.0030354809528595483
2025-06-30,497.04,500.76,495.33,497.41,28368991.0,496.93333333333334,490.94000000000005,0.8604843597250211,7.296506013154422,0.0029640682340605906
2025-07-01,496.47,498.05,490.98,492.05,19945375.0,495.1333333333334,493.03285714285715,2.769554717518974,4.216517972156927,-0.010775818741078802
2025-07-02,489.99,493.5,488.7,491.09,16319641.0,493.51666666666665,493.76000000000005,3.405720677526551,3.0899460620964283,-0.0019510212376792069
2025-07-03,493.81,500.13,493.44,498.84,13984829.0,493.99333333333334,495.00714285714287,4.224693282752218,3.1327023174125865,0.015781221364719267
2025-07-07,497.38,498.75,495.225,497.72,13981605.0,495.8833333333334,495.7857142857143,4.1887508082161755,3.014060700244794,-0.0022452088846122153
2025-07-08,497.24,498.2,494.11,496.62,11846586.0,497.7266666666667,495.6671428571429,1.110015014912518,2.953391916004729,-0.002210077955477008
2025-07-09,500.3,506.78,499.74,503.51,18659538.0,499.2833333333333,496.74857142857144,3.7014906906989276,4.194931181681719,0.013873786798759502
2025-07-10,503.05,504.44,497.75,501.48,16498740.0,500.5366666666667,497.33,3.5405413898626583,4.567406266142502,-0.004031697483664609
2025-07-11,498.47,505.03,497.795,503.32,16459512.0,502.77,498.94,1.1212047092287603,4.378435793750698,0.003669139347531214
2025-07-14,501.515,503.97,501.03,503.02,12058848.0,502.6066666666666,500.6442857142857,0.9871845487699529,2.878540470115377,-0.000596042279265685
2025-07-15,503.02,508.3,502.79,505.82,14927202.0,504.0533333333333,501.6414285714286,1.5373136743455749,3.323865363154401,0.005566379070414795
2025-07-16,505.18,506.72,501.89,505.62,15154374.0,504.82,502.77,1.56204993518019,3.104410840507925,-0.00039539757225892647
2025-07-17,505.68,513.37,505.62,511.7,17503129.0,507.71333333333337,504.92428571428576,3.4540025091666133,3.348133097427791,0.012024840789525593
2025-07-18,514.48,514.64,507.43,510.05,21209666.0,509.1233333333333,505.8585714285714,3.144142702443554,3.7732056599630224,-0.0032245456322063104
2025-07-21,506.705,512.09,505.55,510.06,14066805.0,510.6033333333333,507.08428571428567,0.9497543542036453,3.497283980189639,1.9605920988041703e-05
2025-07-22,510.97,511.2,505.27,505.27,13868644.0,508.46,507.36285714285714,2.762625562756575,3.2136309385988313,-0.009391052033094205
2025-07-23,506.75,506.79,500.7,505.87,16396585.0,507.06666666666666,507.77000000000004,2.6096040568120262,2.7133128582348163,0.00118748391948853
2025-07-24,508.77,513.67,507.3,510.88,16107000.0,507.34,508.49285714285713,3.0803733539940232,2.780417919939279,0.009903730207365458
2025-07-25,512.465,518.29,510.3592,513.71,19125699.0,510.15333333333336,509.6485714285714,3.9701931103321844,3.0550473459031546,0.00553946132164107
2025-07-28,514.08,515.0,510.12,512.5,14308027.0,512.3633333333333,509.7628571428572,1.4199413133396483,3.1578141927900227,-0.002355414533491751
2025-07-29,515.53,517.62,511.56,512.57,16469235.0,512.9266666666667,510.1228571428572,0.6792888438129179,3.3346949599905114,0.00013658536585370307
2025-07-30,515.17,515.95,509.435,513.24,26380434.0,512.77,510.5771428571429,0.40853396431061334,3.535277991358823,0.0013071385371752342
2025-07-31,555.225,555.45,531.9,533.5,51617326.0,519.77,514.61,11.895246949937313,8.741025874193944,0.039474709687475684
2025-08-01,535.0,535.8,520.86,524.11,28977628.0,523.6166666666667,517.2157142857143,10.139005539663431,8.413950433937428,-0.017600749765698143
2025-08-04,528.27,538.25,528.13,535.64,25349004.0,531.0833333333334,520.7528571428572,6.13314220716616,10.299682380678068,0.021999198641506457
2025-08-05,537.18,537.3,527.24,527.75,19171569.0,529.1666666666666,522.7585714285715,5.894101571344348,10.063951226317979,-0.01473004256590249
2025-08-06,530.9,531.7,524.03,524.94,21355702.0,529.4433333333333,524.5357142857143,5.547344710158496,8.991768193080153,-0.005324490762671608
2025-08-07,526.8,528.09,517.5511,520.84,16079144.0,524.5100000000001,525.7171428571429,3.475010791349101,7.591891978256573,-0.007810416428544298
2025-08-08,522.6,524.66,519.41,522.04,15531009.0,522.6066666666667,526.9742857142857,2.107921567166891,5.665691652812969,0.002303970509177411
2025-08-11,522.3,527.59,519.72,521.77,20194372.0,521.5500000000001,525.2985714285714,0.6295236294171331,5.122562602744902,-0.0005172017469925461
2025-08-12,523.75,530.98,522.7,529.24,18688921.0,524.35,526.0314285714286,4.23701545902224,5.288454180480383,0.014316652931368301
2025-08-13,532.11,532.7,519.37,520.58,19619160.0,523.8633333333333,523.88,4.694191446173312,3.483279106435035,-0.01636308669034836
2025-08-14,522.56,525.9499,520.14,522.48,20269074.0,524.1,523.1271428571429,4.551615097961732,3.04999843871832,0.003649775250681886
2025-08-15,522.77,526.1,519.08,520.17,25213272.0,521.0766666666667,522.4457142857143,1.2324907031404948,3.109736629484212,-0.004421221864951863
2025-08-18,521.585,522.82,514.02,517.1,23760583.0,519.9166666666666,521.9114285714285,2.6989318874933383,3.697361349986638,-0.005901916681084862
2025-08-19,515.0,515.1641,508.55,509.77,21481016.0,515.68,520.1585714285715,5.343435224646892,5.886610310898398,-0.014175207890156694
2025-08-20,509.865,511.0,504.44,505.72,27723025.0,510.8633333333334,517.8657142857144,5.76824352236738,7.926625715781587,-0.007944759401298573
2025-08-21,503.69,507.63,502.7201,504.24,18443254.0,506.57666666666665,514.2942857142857,2.862801658050231,7.571749813490327,-0.0029265206042869973
2025-08-22,504.25,510.73,502.41,507.23,24324161.0,505.73,512.3871428571429,1.4950250834023817,7.404074811177945,0.005929716008250097
2025-08-25,506.63,508.19,504.12,504.26,21638579.0,505.24333333333334,509.7842857142858,1.7205328631955534,6.39899173605435,-0.005855331900715743
2025-08-26,504.355,504.9778,498.51,502.04,30835709.0,504.51,507.19428571428574,2.604016128982853,5.013926794914269,-0.004402490778566581
2025-08-27,502.0,507.29,499.9,506.74,17277893.0,504.34666666666664,505.7142857142857,2.351198276057605,2.5029040276099517,0.009361803840331362
2025-08-28,507.09,511.09,505.5,509.64,18015593.0,506.14000000000004,505.69571428571436,3.835361782153289,2.4680346914281386,0.005722855902435153
2025-08-29,508.66,509.6,504.4915,506.69,20961569.0,507.69000000000005,505.8342857142857,1.688934575405885,2.496690189983418,-0.005788399654658161
2025-09-02,500.465,506.0,496.81,505.12,18127995.0,507.15000000000003,505.96000000000004,2.294842042494798,2.424135584766424,-0.00309854151453548
2025-09-03,503.79,507.79,502.32,505.35,15995154.0,505.71999999999997,505.6914285714286,0.847879708450632,2.3633622135378483,0.0004553373455813414
2025-09-04,504.3,508.15,503.15,507.97,15509486.0,506.1466666666667,506.2214285714286,1.5832350846717365,2.404491828303518,0.005184525576333199
2025-09-05,509.07,511.97,492.37,495.0,31994846.0,502.77333333333337,505.21571428571434,6.858180030688677,4.761746378318179,-0.025533003917554198
2025-09-08,498.105,501.195,495.03,498.2,16771015.0,500.39000000000004,503.9957142857143,6.756648577512721,5.362265867904477,0.006464646464646506
2025-09-09,501.43,502.25,497.7,498.41,14410542.0,497.2033333333334,502.39142857142855,1.911029391019235,5.063751667724199,0.00042151746286633873
2025-09-10,502.98,503.2299,496.72,500.37,21611816.0,498.99333333333334,501.48857142857145,1.1968430696371588,4.721438441024084,0.0039325053670671295
2025-09-11,502.25,503.17,497.88,501.01,18881608.0,499.93,500.90142857142854,1.3546955377517997,4.441855575362633,0.0012790535004096881
2025-09-12,506.65,512.55,503.85,509.9,23624884.0,503.76,501.5514285714286,5.327016050285796,5.425364591654633,0.01774415680325747
2025-09-15,508.79,515.47,507.0,515.36,17143786.0,508.75666666666666,502.60714285714283,7.242998918495942,7.283363953297209,0.010707981957246648
2025-09-16,516.88,517.23,508.6,509.04,19711922.0,511.43333333333334,504.6128571428572,3.427671707344797,6.753235556101145,-0.012263272275690795
2025-09-17,510.62,511.29,505.93,510.02,15816585.0,511.47333333333336,506.3014285714286,3.401431071377456,6.348105829225393,0.0019251925192518282
2025-09-18,511.49,513.07,507.66,508.45,18913696.0,509.17,507.7357142857143,0.793032155716268,5.318711802503754,-0.003078310654484162
2025-09-19,510.56,519.3,510.31,517.93,52474093.0,512.1333333333333,510.24428571428564,5.081066161085857,5.406036308740946,0.018644901170223216
2025-09-22,515.59,517.74,512.545,514.45,20009314.0,513.61,512.1642857142857,4.795497888644926,3.6960017006794064,-0.006719054698511195
2025-09-23,513.8,514.5899,507.31,509.23,19799580.0,513.87,512.0685714285714,4.378903972456765,3.772300043613193,-0.010146758674312473
2025-09-24,510.38,512.48,506.92,510.15,13533711.0,511.27666666666664,511.3242857142856,2.7864194467689654,3.5202076508010998,0.0018066492547570423
2025-09-25,508.3,510.01,505.04,507.03,15786468.0,508.8033333333333,511.03714285714284,1.6031635391728045,3.8078196485899025,-0.006115848279917735
2025-09-26,510.06,513.94,506.62,511.46,16213129.0,509.5466666666666,511.24285714285713,2.2757929021184777,3.782524352358786,0.008737155592371204
2025-09-29,511.5,516.845,508.88,514.6,17617775.0,511.03000000000003,512.1214285714285,3.8032749046051424,3.73969886742825,0.006139287529816739
2025-09-30,513.24,518.16,509.66,517.95,19728229.0,514.6700000000001,512.1242857142857,3.245566206380307,3.744880314699698,0.00650991061018269
2025-10-01,514.8,520.505,511.69,519.71,22632336.0,517.4200000000001,512.8757142857143,2.5959006144296497,4.696210731865819,0.0033980113910609955
2025-10-02,517.64,521.6,510.6791,515.74,21222886.0,517.8000000000001,513.8057142857143,1.9892460883450482,4.494162351105183,-0.007638875526736144
2025-10-03,517.1,520.49,515.0,517.35,15112321.0,517.6,514.8342857142857,1.9967723956415653,4.3392966294194055,0.003121728002482005
2025-10-06,518.61,531.03,518.2,528.57,21388581.0,520.5533333333334,517.9114285714286,6.989151116790113,5.3922519370272814,0.021687445636416447
2025-10-07,528.285,529.8,521.44,523.98,14615208.0,523.3000000000001,519.7,5.640824407832047,4.954324710122053,-0.008683807253533127
2025-10-08,523.28,526.95,523.09,524.85,13363447.0,525.8000000000001,521.1642857142857,2.4380114847950214,4.704174944105938,0.0016603687163632141
2025-10-09,522.335,524.325,517.4,522.4,18343602.0,523.7433333333333,521.8,1.2420279116535642,4.4933654796071725,-0.004668000381061299
2025-10-10,519.64,523.58,509.63,510.96,24133840.0,519.4033333333333,520.5500000000001,7.414042981621315,6.101120115737712,-0.02189892802450233
2025-10-13,516.41,516.41,511.68,514.05,14284238.0,515.8033333333334,520.3085714285714,5.918110621923935,6.35148126705159,0.006047440112728841
2025-10-14,510.225,515.282,506.0,513.57,14684300.0,512.86,519.7685714285715,1.6628589837975978,6.790457590303288,-0.0009337613072656348
2025-10-15,514.955,517.19,510.0,513.43,14694654.0,513.6833333333333,517.6057142857143,0.32516662394742707,5.868398012923944,-0.00027260159277231466
2025-10-16,512.58,516.85,508.13,511.61,15559565.0,512.87,515.8385714285714,1.093434954625219,5.478535170923226,-0.0035447870206258836
2025-10-17,509.04,515.48,507.31,513.58,19867765.0,512.8733333333333,514.2285714285715,1.0966464030532268,3.782342433692404,0.0038505893160807325
2025-10-20,514.61,518.7,513.43,516.79,14665620.0,513.9933333333333,513.4271428571428,2.614619156460267,1.8765812380106097,0.0062502433895399445
2025-10-21,517.5,518.69,513.04,517.66,15586204.0,516.0099999999999,514.3842857142857,2.148929966284371,2.103440492326235,0.0016834691073743802
2025-10-22,521.15,525.23,517.71,520.54,18962694.0,518.3299999999999,515.3114285714286,1.962727693796161,3.1174424804706136,0.005563497276204421
2025-10-23,522.46,523.95,518.61,520.56,14023532.0,519.5866666666666,516.3100000000001,1.6685722439640875,3.5554090247576258,3.842163906697671e-05
2025-10-24,522.79,525.345,520.71,523.61,15532360.0,521.57,517.7642857142856,1.7667201249755755,4.203898417511535,0.005859074842477385
