,1. open,2. high,3. low,4. close,5. volume,MA_3,MA_7,STD_3,STD_7,%_change
2025-06-12,1222.59,1230.0,1211.965,1215.03,2084602.0,1212.8433333333335,1227.8064285714286,8.347636392018456,16.660785474251995,-0.003975800898449178
2025-06-13,1206.59,1220.62,1201.89,1212.15,2210253.0,1215.6866666666667,1223.8764285714285,3.90661404970421,16.643281606072954,-0.002370311844151929
2025-06-16,1212.2,1226.25,1212.2,1225.35,2112797.0,1217.51,1220.2807142857143,6.94066279255875,11.99847435738235,0.010889741368642403
2025-06-17,1219.95,1232.3569,1216.09,1220.67,1892126.0,1219.39,1217.3085714285714,6.69244349994879,7.6691881981764425,-0.0038193169298565977
2025-06-18,1229.99,1241.9999,1220.5,1222.29,2281047.0,1222.77,1216.9985714285715,2.3766362784411337,7.369958002077215,0.0013271400132712774
2025-06-20,1234.45,1248.4999,1224.349,1231.41,5348193.0,1224.79,1220.9685714285715,5.790025906677866,6.380628047905175,0.0074614044130281165
2025-06-23,1238.025,1254.84,1215.01,1253.54,2667318.0,1235.7466666666667,1225.777142857143,16.070022816826363,13.796925640984504,0.017971268708228738
2025-06-24,1260.545,1282.571,1255.0,1279.11,2663307.0,1254.6866666666667,1234.9314285714286,23.87066470237657,23.39664108981694,0.020398232206391365
2025-06-25,1286.84,1297.9999,1273.81,1275.25,2146510.0,1269.3,1243.945714285714,13.784342566837722,25.23954955827777,-0.0030177232607045967
2025-06-26,1280.0,1307.34,1280.0,1306.67,2605870.0,1287.01,1255.562857142857,17.135098482352262,32.827931559514795,0.02463830621446772
2025-06-27,1306.88,1331.345,1301.0,1323.12,4070857.0,1301.68,1270.1985714285713,24.321992105908706,37.222452197820665,0.012589253598842776
2025-06-30,1331.0,1341.15,1321.21,1339.13,3282908.0,1322.9733333333334,1286.8899999999999,16.230497014361056,38.33873106924646,0.012100187435758025
2025-07-01,1338.23,1338.7743,1282.22,1293.6,4993567.0,1318.6166666666666,1295.7742857142857,23.096649829211024,29.53424501441397,-0.033999686363534676
2025-07-02,1296.96,1299.9499,1271.59,1284.86,3048801.0,1305.8633333333335,1300.2485714285715,29.13932451744926,23.905654441694846,-0.006756338899196024
2025-07-03,1292.0,1302.26,1279.76,1297.18,2006224.0,1291.8799999999999,1302.83,6.337538954508082,22.15405305280903,0.009588593309777016
2025-07-07,1295.0,1295.0,1276.02,1289.62,2273737.0,1290.5533333333333,1304.8828571428571,6.2128039831660065,19.702624794923512,-0.0058280269507702265
2025-07-08,1290.9,1293.25,1260.0,1275.31,3292525.0,1287.3700000000001,1300.402857142857,11.107254386207053,22.58328195390413,-0.011096291930956403
2025-07-09,1273.99,1288.29,1266.24,1288.28,2384477.0,1284.4033333333334,1295.4257142857143,7.903507660099618,20.483811378047655,0.010170076295175301
2025-07-10,1285.5,1289.5999,1246.01,1250.59,4236494.0,1271.3933333333332,1282.7771428571427,19.147825812171984,15.799743367415505,-0.029256062346694867
2025-07-11,1259.786,1261.0,1231.3,1245.11,3957150.0,1261.3266666666666,1275.85,23.502536742515684,20.26315868762812,-0.00438193172822432
2025-07-14,1244.91,1270.49,1240.0,1261.95,2781048.0,1252.55,1272.5771428571427,8.589388802469179,20.414955069169018,0.01352490944575191
2025-07-15,1262.0,1271.22,1243.245,1260.27,2801731.0,1255.7766666666666,1267.3042857142857,9.275717402622247,17.56970105716356,-0.001331273029834823
2025-07-16,1261.71,1271.0,1249.82,1250.31,3227022.0,1257.51,1261.6885714285713,6.29170882987854,15.396034585320388,-0.007903068390106904
2025-07-17,1253.0,1277.5,1244.8004,1274.17,6469877.0,1261.5833333333333,1261.5257142857142,11.984095015198218,15.233101957188376,0.019083267349697453
2025-07-18,1241.96,1246.5,1201.01,1209.24,10693306.0,1244.5733333333335,1250.2342857142855,32.842932776068125,20.485010664013977,-0.05095866328668863
2025-07-21,1206.0,1237.1,1198.0,1233.27,5627591.0,1238.8933333333334,1247.76,32.82822921409773,21.457787242242357,0.01987198571003268
2025-07-22,1230.38,1232.37,1187.5,1190.08,5062970.0,1210.8633333333335,1239.8985714285716,21.64071240355512,30.686493461332308,-0.03502071728007661
2025-07-23,1189.81,1192.6194,1173.6,1176.78,4504264.0,1200.0433333333333,1227.7314285714285,29.533557749336687,36.76814356140919,-0.011175719279376106
2025-07-24,1177.8,1183.5,1162.6601,1180.76,3845570.0,1182.54,1216.3728571428571,6.826331371982056,37.31803572639122,0.003382110504937197
2025-07-25,1178.415,1187.32,1174.3825,1180.49,2629260.0,1179.3433333333332,1206.3985714285716,2.224012889676325,36.044555496668394,-0.0002286662827331032
2025-07-28,1181.2,1197.7899,1168.53,1174.6,3446958.0,1178.6166666666666,1192.1742857142858,3.481154023229661,21.59139632441879,-0.00498945353200797
2025-07-29,1179.0,1179.6,1163.29,1168.74,2752489.0,1174.61,1186.3885714285714,5.875006382985648,21.6823126292472,-0.004988932402519963
2025-07-30,1168.55,1184.85,1166.1,1184.2,2922731.0,1175.8466666666666,1179.3785714285714,7.805032564535107,6.876007631788691,0.013227920666700976
2025-07-31,1184.8,1190.0,1157.74,1159.4,3712949.0,1170.78,1174.9957142857145,12.525222552918112,8.503269679254707,-0.020942408376963262
2025-08-01,1163.01,1178.505,1152.85,1158.6,3890950.0,1167.4,1172.3985714285714,14.554724318932918,10.42635511348139,-0.0006900120752114658
2025-08-04,1167.65,1177.0,1162.615,1170.99,2244702.0,1162.9966666666667,1171.0028571428572,6.933976732978011,9.752672649564468,0.010693940963231618
2025-08-05,1171.0,1171.71,1144.71,1147.87,2660735.0,1159.1533333333334,1166.3428571428572,11.56992797442961,11.998623135297597,-0.019743977318337547
2025-08-06,1153.52,1181.375,1151.8701,1178.48,3362161.0,1165.78,1166.8971428571429,15.956224490779343,12.521853848754404,0.02666678282383894
2025-08-07,1181.76,1191.22,1168.2,1180.37,2628321.0,1168.9066666666668,1168.5585714285714,18.242780307109857,13.537480598413502,0.0016037607765935213
2025-08-08,1183.19,1214.11,1180.3701,1211.64,3816689.0,1190.1633333333334,1172.4785714285713,18.623330350220606,20.830149166190765,0.026491693282614914
2025-08-11,1214.01,1223.07,1201.93,1218.31,2455648.0,1203.44,1180.8942857142858,20.25563872110907,25.939261655608924,0.005504935459377247
2025-08-12,1225.0,1231.99,1206.505,1225.28,2282627.0,1218.4099999999999,1190.4199999999998,6.820549831213454,28.504249975516295,0.005721039801035888
